"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday.nlogo"
"emsoft2precision"
"04/20/2559 15:08:52:335 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","max-count-send","[step]","length filter [? != 0] [workers-type] of workers with [color = red] / count workers with [color = red]"
"163","6","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.4"
"158","6","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.4"
"164","6","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.4"
"165","6","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.4"
"166","6","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.4"
"170","6","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.4"
"171","6","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.4"
"168","6","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.4"
"169","6","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.4"
"167","6","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.4"
"172","6","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.4"
"174","6","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.4"
"173","6","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.4"
"175","6","5","100","100","""2. random""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Soft Penalty""","true","1","false","1","1441","0.4"
