"BehaviorSpace results (NetLogo 5.2.0)"
"marcs.nlogo"
"testa3"
"03/03/2559 16:40:05:756 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","workers-probability","number-workers","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"75","47","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"77","47","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"78","47","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"79","47","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"80","47","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"81","48","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"82","48","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"83","48","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"85","48","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"86","48","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"88","48","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"87","48","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"84","48","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"89","48","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"90","48","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"91","49","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"92","49","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"93","49","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"94","49","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
"95","49","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","100"
