"BehaviorSpace results (NetLogo 5.2.0)"
"marcs.nlogo"
"a3.2"
"03/29/2559 20:45:42:573 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"81","80","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"78","77","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"82","81","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"84","83","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"83","82","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"85","84","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"86","85","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"87","86","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"88","87","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"90","89","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"91","90","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"93","92","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"92","91","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"94","93","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"89","88","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"95","94","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"96","95","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"97","96","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"98","97","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"99","98","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"100","99","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
"101","100","100","100","""1. fixed : flood""","""flood""","1","1","""2 Levels""","""Majority Voting""","""None""","false","0","false","1441","100"
