"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_kill.nlogo"
"a3s_kill"
"04/05/2559 17:58:54:079 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","start-cut","adversaries-rate","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"160","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"161","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","50"
"162","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"163","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"164","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","54.166666666666664"
"165","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"166","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","54.166666666666664"
"167","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","50"
"168","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","47.916666666666664"
"169","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","52.083333333333336"
"170","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","60.416666666666664"
"171","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"172","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","39.583333333333336"
"173","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","47.916666666666664"
"174","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","52.083333333333336"
"175","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","47.916666666666664"
"176","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","50"
"177","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"178","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"179","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","41.666666666666664"
"180","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"182","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"181","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","37.5"
"183","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","50"
"184","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"185","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"186","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"187","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"189","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
"188","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","50"
"190","1","50","100","100","""1. fixed : flood""","""random""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","true","1","false","1441","100"
