"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday (3).nlogo"
"mv2"
"04/25/2559 14:39:03:996 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","max-count-send","adversaries-rate","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","show-penalty?","cut-workers-per-round","start-cut","[step]","sum-correctness / floor(ticks / update-ticks)"
"65","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","69.56597222222223"
"66","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","69"
"67","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.56597222222223"
"68","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","71.08333333333333"
"69","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","68.39583333333333"
"70","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.66666666666667"
"71","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.83333333333333"
"72","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","68.83333333333333"
"73","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","71.28571428571429"
"74","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.25"
"76","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","72.08333333333333"
"75","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","69.89583333333333"
"77","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","71.31597222222223"
"78","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","71.0625"
"81","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","68.7326388888889"
"79","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","69.91666666666667"
"82","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.89583333333333"
"80","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","71.41666666666667"
"85","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.3125"
"84","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.8125"
"83","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","69.33333333333333"
"87","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.33333333333333"
"86","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","71.5625"
"88","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.99305555555556"
"89","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","69.72916666666667"
"90","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","68.83333333333333"
"92","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.2326388888889"
"93","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","69.16666666666667"
"94","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","69.3125"
"91","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.41666666666667"
"95","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","70.16666666666667"
"97","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","69.8804347826087"
"96","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","68.5625"
"99","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","71.1423611111111"
"98","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","71.4826388888889"
"100","1","50","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","71.25"
"101","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.72222222222223"
"102","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","56"
"104","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.46875"
"105","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","56.416666666666664"
"103","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.13888888888889"
"107","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","54.96527777777778"
"106","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.72222222222223"
"108","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.75"
"110","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","56.96875"
"109","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.38888888888889"
"111","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","56.47614734299517"
"112","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.833333333333336"
"113","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","56.583333333333336"
"115","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","56.416666666666664"
"116","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.75"
"114","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","56.055555555555564"
"117","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.083333333333336"
"118","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.25"
"119","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.555555555555564"
"121","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.25"
"122","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.666666666666664"
"120","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","54.885416666666664"
"123","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.666666666666664"
"124","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","56"
"125","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","56.302083333333336"
"127","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.583333333333336"
"126","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.333333333333336"
"128","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.416666666666664"
"129","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","57.166666666666664"
"130","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.97222222222223"
"132","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.5"
"131","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","56.166666666666664"
"134","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.608695652173914"
"133","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.416666666666664"
"135","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","54.75"
"137","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.416666666666664"
"138","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","57.052083333333336"
"136","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.416666666666664"
"139","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","57"
"140","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.38888888888889"
"141","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","56.47222222222223"
"143","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","56.666666666666664"
"145","1","75","100","100","""1. fixed : normal""","""random-seed""","5","5","""2 Levels""","""Majority Voting""","""None""","true","false","1","3","1441","55.333333333333336"
